Issue Id,Summary,Description,Date Created,Date Modified,Issue type,Milestone,Status,Resolution,Reporter,Labels,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments
1,The third argument to both the master and client must be the filename of...,... the sourceAddrFilePath file in order for this example to run.,01/12/12 03:53:38 PM,01/12/12 04:51:53 PM,Task,,Closed,Fixed,acfoltzer,,"Comment:zenzike:01/12/12 04:51:53 PM:

Referenced in commit:
https://github.com/haskell-distributed/distributed-process/5f4d5a53b47f934d3f4ff3768f5e785431b51b3c
","Comment:zenzike:01/12/12 04:51:53 PM:

merged","Comment:zenzike:01/12/12 04:51:53 PM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TCP Transport appears to run messages together,"In the course of adding a new named pipes transport, I noticed the following behavior of the TCP transport on demo0.

Ten messages are sent, one concatenated message is received, resulting in the output below.

Note: I'm testing this in rev 16111710187ba8baaf749be97da0dcefa4f262f8 (not yet merged) but it should apply to rev 8c576934bf689861a9f690f24c7a530f9eb16237 as well.


MVAR Transport:
logServer rcvd: [""hello 1""]
logServer rcvd: [""hello 2""]
logServer rcvd: [""hello 3""]
logServer rcvd: [""hello 4""]
logServer rcvd: [""hello 5""]
logServer rcvd: [""hello 6""]
logServer rcvd: [""hello 7""]
logServer rcvd: [""hello 8""]
logServer rcvd: [""hello 9""]
logServer rcvd: [""hello 10""]

TCP Transport:
logServer rcvd: [""hello 1hello 2hello 3hello 4hello 5hello 6hello 7hello 8hello 9hello 10""]

Pipes Transport:
logServer rcvd: [""hello 1""]
logServer rcvd: [""hello 2""]
logServer rcvd: [""hello 3""]
logServer rcvd: [""hello 4""]
logServer rcvd: [""hello 5""]
logServer rcvd: [""hello 6""]
logServer rcvd: [""hello 7""]
logServer rcvd: [""hello 8""]
logServer rcvd: [""hello 9""]
logServer rcvd: [""hello 10""]",02/20/12 04:52:21 AM,02/24/12 10:46:25 AM,Task,,Closed,Fixed,rrnewton,,"Comment:zenzike:02/20/12 10:16:14 AM:

I believe this was fixed in rev d97505c71061002593cc4ceccdddb0702bb147a1, which came after the point where you forked for those revisions: would you mind updating and testing if you still have this issue?","Comment:zenzike:02/24/12 10:46:25 AM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Added named pipe backend,This has some limitations remaining (message size) but works for all of the demos in DemoTransport.,02/21/12 05:21:03 AM,02/21/12 03:45:46 PM,Task,,Closed,Fixed,rrnewton,,"Comment:rrnewton:02/21/12 03:45:46 PM:

merged","Comment:rrnewton:02/21/12 03:45:46 PM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Switched from Binary to cereal, allowed switching between lazy and strict ByteString, fixed some bugs",See email for details; microbenchmark results here: https://gist.github.com/6d958ade26ff70c2cce0,02/23/12 08:45:47 PM,02/23/12 08:49:01 PM,Task,,Closed,Fixed,acfoltzer,,"Comment:acfoltzer:02/23/12 08:49:01 PM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"FIXED: Switched from Binary to cereal, allowed switching between lazy and strict ByteString, fixed some bugs","See email for details; microbenchmark results here: https://gist.github.com/6d958ade26ff70c2cce0

Note that the previous pull request did not merge the upstream changes recently made in this repo. I went ahead and took care of that :)",02/23/12 09:06:37 PM,02/24/12 04:19:52 PM,Task,,Closed,Fixed,acfoltzer,,"Comment:zenzike:02/24/12 10:27:03 AM:

Referenced in commit:
https://github.com/haskell-distributed/distributed-process/acbc141c5f8b033fb3a7d6f19e43f81c3b9288fc
","Comment:zenzike:02/24/12 10:27:03 AM:

merged","Comment:zenzike:02/24/12 10:27:03 AM:

closed","Comment:rrnewton:02/24/12 03:59:29 PM:

Here are the microbenchmark results that I am currently seeing:

    https://gist.github.com/1901698

Also, Adam, I think this merge broke the ""distributed-process"" layer.  Can you take a look?

Second, the SendTransport benchmarks in your gist look fishy.  Why would 50K take an order of magnitude LESS time to send than a 10K message?

I'm afraid this might be because the results are from the server hulk (often under load).  What do you get when using an unoccupied workstation in the ""mine""?","Comment:rrnewton:02/24/12 04:19:52 PM:

Ok, weird.  I redid the benchmark on gabbro and it still shows the same pattern as yours.  I added some results in a comment on your gist:

   https://gist.github.com/6d958ade26ff70c2cce0_comments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Fixes made for the distributed-process with strict bytestrings,,02/24/12 05:20:46 PM,02/25/12 10:35:28 AM,Task,,Closed,Fixed,acfoltzer,,"Comment:rrnewton:02/25/12 10:35:28 AM:

Referenced in commit:
https://github.com/haskell-distributed/distributed-process/4e42a1ef69b3c55a6361b2e145cec0cafbfb600e
","Comment:rrnewton:02/25/12 10:35:28 AM:

merged","Comment:rrnewton:02/25/12 10:35:28 AM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,killThread hangs on GHC 7.0.4 7.2.1 but NOT 6.12.3 and 7.4.1,"The bug is found in DemoTransport.hs, which will hang when trying to ""killThread""
(Pipes backend only, demo3 and demo4).  Yet this hang happens ONLY under GHC 
7.0.4 and 7.2.1. Under GHC 6.12.3 and GHC 7.4.1 it works fine!
    
At first I thought this may be an issue with non-allocating threads not
being preempted by the runtime system (and therefore not servicing the
ThreadKilled asynchronous exception).  But it's hard to explain that
pattern of outcomes on different GHC versions.

See commit: 48e257ad2456c1c4c953281b21c7aa80a9fa3e75
",02/25/12 11:34:08 AM,07/27/12 11:32:38 AM,Task,,Closed,Fixed,rrnewton,,"Comment:rrnewton:02/25/12 10:11:03 PM:

Note for reproducing:

You can use the following bash script inside the `examples` directory to build all four versions of this and compare them for yourself.

    _!/bin/bash

    set -e

    function go() {
      VER=$1
      make clean
      GHC=ghc-$1 make DemoTransport.exe
      mv -f DemoTransport.exe DemoTransport_$VER.exe
    }

    go 6.12.3
    go 7.0.4
    go 7.2.1
    go 7.4.1

","Comment:simonmar:02/27/12 08:40:57 AM:

Might have been a bug in the asynchronous-exception handling code in the RTS.  e.g. this commit might be the fix:

commit fa71e6c795489ec267e0d048395c2c52bea6a164
Author: Simon Marlow <marlowsd@gmail.com>
Date:   Wed Aug 31 22:45:01 2011 +0100

    Fix DPLEGACY-4988: we were wrongly running exception handlers in the
    maskUninterruptible state instead of ordinary mask, due to a
    misinterpretation of the way the TSO_INTERRUPTIBLE flag works.
    
    Remarkably this must have been broken for quite some time.  Indeed we
    even had a test that demonstrated the wrong behaviour (conc015a) but
    presumably I didn't look hard enough at the output to notice that it
    was wrong.
","Comment:edsko:07/27/12 11:32:38 AM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,testConnectToSelf failing,"On line 451 of TestTransport.hs :
https://github.com/haskell-distributed/distributed-process/blob/edsko/network-transport-2/tests/TestTransport.hs#L451

If I add another line beneath this, so that two connections are made between an endpoint and its own address, then the 'testConnectToSelf' fails. e.g.

```
testConnectToSelf :: Transport -> Int -> IO ()
testConnectToSelf transport numPings = do
  done <- newEmptyMVar
  Right endpoint <- newEndPoint transport

  tlog ""Creating self-connection""
  Right conn <- connect endpoint (address endpoint) ReliableOrdered
  Right dummyConn1 <- connect endpoint (address endpoint) ReliableOrdered
```

It is throwning an error for line 473 : 
https://github.com/haskell-distributed/distributed-process/blob/edsko/network-transport-2/tests/TestTransport.hs#L473

where (Received cid' msg) is not correctly being pattern matched:
```
Running ""ConnectToSelf"": failed (exception: TestTransport.hs:473:46-99: Non-exhaustive patterns in lambda
```

So - having multiple connections from an endpoint to its address appears to be causing problems.",05/11/12 11:58:47 PM,05/12/12 10:42:57 AM,Task,,Closed,Fixed,robstewart57,,"Comment:edsko:05/12/12 10:22:55 AM:

The reason the test fails when you add another call to `connect` is that the endpoint will receive _two_ `ConnectionOpened` messages before it gets the first `Received` message. So the error you are seeing is an error in your test, not in the transport. The latest version of the transport gives more detailed feedback when a test fails. With your modification (the second call to connect) the test now fails with

    Running ""ConnectToSelf"": failed (exception: user error 
        (Pattern match failure in do expression at tests/TestTransport.hs:460:8-29)
    Trace:
    0	ConnectionOpened 1025 ReliableOrdered (EndPointAddress {endPointAddressToByteString = ""127.0.0.1:8080:19""})
    1	ConnectionOpened 1024 ReliableOrdered (EndPointAddress {endPointAddressToByteString = ""127.0.0.1:8080:19""})
    )

which very clearly shows what's going on: the test was expecting a `Received` message on line 460 but instead got a `ConnectionOpened` message.","Comment:edsko:05/12/12 10:22:55 AM:

closed","Comment:robstewart57:05/12/12 10:42:57 AM:

Quite right.

Thanks for clarifying!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,a handful of understandability tweaks for the diagram,(hopefully an improvement…),05/17/12 03:35:37 PM,05/17/12 03:37:48 PM,Task,,Closed,Fixed,kowey,,"Comment:edsko:05/17/12 03:37:48 PM:

Referenced in commit:
https://github.com/haskell-distributed/distributed-process/bcb69aa7529463c5ab07e1ed4c3faae42ce33ddd
","Comment:edsko:05/17/12 03:37:48 PM:

merged","Comment:edsko:05/17/12 03:37:48 PM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,sorry!,,05/17/12 03:44:21 PM,05/17/12 03:54:43 PM,Task,,Closed,Fixed,kowey,,"Comment:edsko:05/17/12 03:54:43 PM:

Referenced in commit:
https://github.com/haskell-distributed/distributed-process/64df2a24e582752937f31db34edc35fa7dbb1266
","Comment:edsko:05/17/12 03:54:43 PM:

merged","Comment:edsko:05/17/12 03:54:43 PM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
